,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
888,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Yes,"There's little stigma around a physical health issue, and it could even become a personal talking point where it'd make a connection with someone.",No,"There's too little understanding or sympathy around mental health. I'd be labeled ""crazy,"" and that'd be the end of the interview.","Yes, I think it would","Yes, I think they would",Somewhat not open,No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,38,Male,Executive Leadership|Other,Sometimes
889,26-100,0.0,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,"I believe in total transparency. If it's not appreciated, then I know the potential employer is not for me.",Yes,"I am a veteran with PTSD-related issues. I believe in total transparency. If it's not appreciated, then I know the potential employer is not for me.","Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,1,Sometimes,Often,51,Male,Supervisor/Team Lead,Sometimes
890,500-1000,0.0,I don't know,No,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Idk,Maybe,Idk,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,I don't know,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,29,Male,Back-end Developer,Sometimes
891,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",I was aware of some,None did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,Depends on whether it might hinder or modify the way I work at the employer ,Maybe,Same reason as above. But less likely,Maybe,Maybe,Neutral,No,No,No,No,No,1,Rarely,Sometimes,37,Male,One-person shop|Designer|Front-end Developer|Back-end Developer|Support|DevOps/SysAdmin|Other,Always
892,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,Seems like it would work against me,No,Seems like it would work against me,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Supervisor/Team Lead,Always
893,1-5,1.0,No,No,No,No,No,Very easy,No,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,"It's simple: They need to know who they're hiring.
",Yes,Again: They need to know who they're hiring.,"No, I don't think it would","No, I don't think they would",Neutral,No,Yes,Maybe,Maybe,No,0,Rarely,Rarely,32,Male,Other|Dev Evangelist/Advocate|Support,Sometimes
894,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Fear of discrimination,No,Stigma,Maybe,"No, I don't think they would",Very open,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,31,Male,Front-end Developer|Back-end Developer,Sometimes
895,More than 1000,0.0,Not eligible for coverage / N/A,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,honesty,Maybe,fear,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,52,Male,Support|Designer|Front-end Developer,Never
896,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,I decide this based on my feelings towards my counterpart. If I feel that the interviewer is a kind human beeing I'll bring it up. Otherwise I don't.,Maybe,Same as before.,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Often,Often,31,Male,Designer|One-person shop,Sometimes
897,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,"For short term and temporary contracts, there's no way you would get the job.",No,As before.,"No, I don't think it would","No, I don't think they would",Very open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,38,Female,One-person shop,Always
898,More than 1000,0.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Fear of discrimination,Maybe,Stigma,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Sometimes,Often,35,Male,Other|Dev Evangelist/Advocate|Support,Never
899,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,I would not interview for a position where I believe my physical health may negatively impact my productivity.,No,I would not interview for a position where I believed my mental health would be an issue.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,One-person shop|Back-end Developer|DevOps/SysAdmin,Always
900,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,No,"If it's not a disability accommodation requirement, they don't need to know.",No,"Interviewers, especially HR people, tend to look for ways to eliminate candidates, rather than perform positive Selection Interviewing methods.",Maybe,Maybe,Somewhat not open,"Yes, I experienced",No,No,No,No,1,Not applicable to me,Not applicable to me,63,Male,One-person shop,Always
901,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,bias. a lack of understanding.,No,same reason as above.,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,1,Rarely,Often,47,Female,One-person shop|Other,Always
902,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"No, I only became aware later",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,"Ensuring they have support for repetitive strain injury coverage, for example.",No,Respecting my right to privacy and avoiding any risk of discrimination.,Maybe,"No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,43,Male,DevOps/SysAdmin,Always
903,26-100,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,I feel they might be biased,No,They will definitely be biased,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,Designer|Supervisor/Team Lead,Sometimes
904,6-25,0.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,"I would bring it up if I required special equipment to do my job, or if I felt the need to explain how I can do my job despite the physical issue.",No,"I'm not comfortable enough explaining or discussing mental health. I feel that it may ""make it weird"" in the interview.","No, I don't think it would",Maybe,Not open at all,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,27,Male,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
905,6-25,1.0,I don't know,No,No,Yes,Yes,I don't know,No,No,No,Yes,Yes,Yes,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,Because I don't trust insurance companies.,No,Because I try not to let it affect my work. ,"Yes, it has","No, I don't think they would",Somewhat not open,No,Yes,Yes,Yes,No,0,Not applicable to me,Often,40,Female,Other,Always
906,500-1000,0.0,Not eligible for coverage / N/A,No,I don't know,I don't know,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,You don't want to give a potential employer a reason not to hire you.,No,"Same reason as before. Add to that the stigma associated with mental health. Not a good idea. I think employers, especially big companies, see mental health issues like depression as undesirable.","Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,32,Male,Front-end Developer,Never
907,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"If it directly impacted my ability to work, I would bring it up.",Maybe,"I don't have a current issue, but I would want to know about health coverage and their general policies.",Maybe,"No, I don't think they would",Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,43,Female,Front-end Developer|Support,Always
908,100-500,0.0,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always","Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",I don't know,Yes,Yes,Yes,0,Never,Often,28,Female,Other,Never
909,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Fear it would impact negatively on getting the position.,No,Almost certainty it would impact negatively on getting the position.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,One-person shop|Front-end Developer|Back-end Developer|DevOps/SysAdmin,Always
910,More than 1000,0.0,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Trying to get a job,No,Trying to get a job,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,Front-end Developer,Sometimes
911,1-5,1.0,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,No,It's illegal for that to effect a job offer. ,No,It's illegal for that to effect a job offer,Maybe,Maybe,Somewhat open,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,31,Male,Executive Leadership|Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer|One-person shop,Sometimes
912,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Fear of discrimination,No,Stigma,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,No,Yes,Yes,Yes,1,Rarely,Sometimes,37,Female,Executive Leadership,Never
913,6-25,1.0,No,No,No,No,I don't know,Somewhat easy,No,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,I would fear that it would affect my chances of getting the job.,No,I am uncomfortable discussing mental health issues outside of my immediate family.,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,35,Male,Designer,Never
914,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,I don't want them to think I can't work,Maybe,"Same, I don't want them to think I can't work",Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Maybe,No,1,Sometimes,Sometimes,30,Female,One-person shop|Designer|Front-end Developer,Always
915,26-100,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I'd need to know more about their own personal characteristics first.,No,Not unless I was aware how they felt about mental health.,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,35,Male,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
916,26-100,1.0,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Only if relevant and would need accommodation.,Maybe,"Similarly to physical issues, only if I felt I needed accommodation.","Yes, I think it would",Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Male,Back-end Developer,Never
917,6-25,1.0,No,No,No,No,No,I don't know,Maybe,No,No,No,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Fear of discrimination,No,Stigma,Maybe,Maybe,Neutral,Maybe/Not sure,No,No,No,No,0,Sometimes,Sometimes,23,Male,Back-end Developer,Sometimes
918,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,"Dependant on how comfortable I felt speaking the interviewer(s), dependant if they have mentioned there is an avenue/approach they embrace to address physical health issues.",Maybe,"Dependant on how comfortable I felt speaking the interviewer(s), dependant if they have mentioned there is an avenue/approach they embrace to address mental health issues. Dependant on how my mental health is that day/week/ etc",Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Yes,1,Sometimes,Often,39,Female,Front-end Developer,Always
919,6-25,1.0,No,No,Yes,No,Yes,Very easy,No,No,Maybe,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,"If I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.",No,"Same reason, if I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,Executive Leadership,Always
920,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Often,Often,28,Male,Front-end Developer,Always
921,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"if it were irrelevant to the job, I wouldn't",No,fear of discrimination,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,Supervisor/Team Lead|Back-end Developer,Sometimes
922,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,Under UK law it's none of their business at that stage.,No,Same as above,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Rarely,38,Male,One-person shop,Always
923,26-100,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Yes,I'm an honest person.,Yes,I'm an honest person.,Maybe,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,Back-end Developer,Sometimes
924,26-100,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,"I think it's important in interviews to lay out exactly what you want on the table. If I had a health issue that needed accommodating, I'd want to ensure that was done.",Yes,Same reasoning as before.,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Back-end Developer,Sometimes
925,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,"Yes, all of them",Yes,Because physical health is an accepted illness. Mental illness is considered to be an opt-out at times. ,No,Because it is not an accepted excuse,"Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,54,Male,Other,Never
926,100-500,1.0,I don't know,No,I don't know,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Depends in the health issue,Maybe,Depends on the health issue,Maybe,Maybe,Neutral,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,30,Female,Other,Never
927,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,Worried about potential discrimination associated with taking time off work,No,"Concerned that I would be viewed as unreliable, or a liability.",Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,32,Female,Front-end Developer|Designer,Always
928,500-1000,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,I don't know,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,"Might effect work, and it seems accepted",No,It's embarassing,Maybe,Maybe,Not open at all,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,28,Male,Front-end Developer,Sometimes
929,6-25,1.0,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Fear of discrimination,Maybe,Stigma,"Yes, I think it would",Maybe,Somewhat open,No,I don't know,Yes,No,Yes,0,Sometimes,Sometimes,39,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
930,1-5,1.0,No,Yes,No,No,No,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,"there's no stigma attached to physical health, it's an ailment.",Maybe,some people view mental illness as weakness. i don't want my employer prejudiced against me on account of my depression.,Maybe,Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,21,Non-binary,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Always
931,6-25,1.0,Yes,Yes,Yes,Yes,No,Very easy,Maybe,No,Maybe,Yes,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,"I have a long-term chronic/constant headache and, well, it impedes my work from time to time. They need to be aware/okay with that.",Maybe,I don't suffer from any mental health issues that warrant discussion - so I'm not sure!,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes
932,More than 1000,1.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,It seems like it would generally be useless information but may lend towards casual conversation. Like ice breaking.,No,The tech field seems highly reliant on mental capabilities. So I would fear that any issues disclosed here might negatively impact my standing (justified or not).,Maybe,Maybe,Somewhat open,No,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,30,Male,Front-end Developer|Back-end Developer|Dev Evangelist/Advocate,Sometimes
933,26-100,1.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,I think it would depend on the job requirements and the limitations my physical health would have on carrying out my duties.,No,"Unless I felt comfortable or knew how the employer felt about mental health, I most likely wouldn't feel ready to disclose that information that early on.",Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,Other,Sometimes
934,6-25,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,I am not sure it would hinder my place in the job,Maybe,I am not sure it would hinder my place in the job,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,Back-end Developer,Always
935,26-100,1.0,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,Yes,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,I would likely perceive that as irrelevant to the interview process.,No,I would likely perceive that as irrelevant to the interview process.,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30,Male,Executive Leadership|Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
936,500-1000,1.0,No,No,I don't know,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Fear of discrimination,No,Stigma,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,Back-end Developer,Never
937,100-500,1.0,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Front-end Developer|Back-end Developer|Supervisor/Team Lead|Executive Leadership,Always
938,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"Most likely not, if I felt that it would harm my chances of getting a job.",No,Seems like it would only hurt chances of getting a job.,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,32,Male,Back-end Developer|Front-end Developer,Never
939,26-100,0.0,No,No,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,I would only bring it up if it affected my ability to do my job,Maybe,If it affected my ability to do my job,"No, I don't think it would","No, I don't think they would",Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,45,Female,Back-end Developer,Always
940,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Not impacting my performance,No,Would not get the job,Maybe,"No, I don't think they would",Very open,No,Yes,Maybe,Maybe,No,0,Sometimes,Often,29,Male,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes
941,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Maybe,No,1,Sometimes,Sometimes,27,Male,Front-end Developer|Back-end Developer,Always
